Circuit,Type,Direction,Location,Country,Last length used,Turns,Grands Prix,Season(s),Latitude,Longitude,Grands Prix held
Donington Park,Race circuit,Clockwise,Castle Donington,United Kingdom,4.020 km (2.498 mi),11,European Grand Prix,1993,52°49′47″N,1°22′46″W,1
Fuji Speedway,Race circuit,Clockwise,Oyama,Japan,4.563 km (2.835 mi),16,Japanese Grand Prix,"1976–1977, 2007–2008",35°22′18″N,138°55′36″E,4
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",49°19′40″N,8°33′57″E,37
Hungaroring *,Race circuit,Clockwise,Mogyoród,Hungary,4.381 km (2.722 mi),14,Hungarian Grand Prix,1986–2024,47°34′56″N,19°15′04″E,39
Indianapolis Motor Speedway,Race circuit,Clockwise,Speedway,United States,4.192 km (2.605 mi),13,"Indianapolis 500[b],United States Grand Prix","1950–1960, 2000–2007",39°47′54″N,86°13′58″W,19
Intercity Istanbul Park,Race circuit,Anti-clockwise,Istanbul,Turkey,5.338 km (3.317 mi),14,Turkish Grand Prix,"2005–2011, 2020–2021",40°57′6″N,29°24′18″E,9
Jeddah Corniche Circuit *,Street circuit,Anti-clockwise,Jeddah,Saudi Arabia,6.174 km (3.836 mi),27,Saudi Arabian Grand Prix,2021–2025,21°37′55″N,39°6′16″E,5
Korea International Circuit,Race circuit,Anti-clockwise,Yeongam,South Korea,5.615 km (3.489 mi),18,Korean Grand Prix,2010–2013,34°44′N,126°25′E,4
Kyalami Grand Prix Circuit,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km (2.648 mi),13,South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",25°59′53″S,28°4′08″E,20
Las Vegas Strip Circuit *,Street circuit,Anti-clockwise,Paradise,United States,6.201 km (3.853 mi),17,Las Vegas Grand Prix,2023–2024,36°06′36″N,115°09′44″W,2
Long Beach Street Circuit,Street circuit,Clockwise,Long Beach,United States,3.275 km (2.035 mi),18,United States Grand Prix West,1976–1983,33°45′59.0″N,118°11′34.01″W,8
Lusail International Circuit *,Race circuit,Clockwise,Lusail,Qatar,5.419 km (3.367 mi),16,Qatar Grand Prix,"2021, 2023–2024",25°29′24″N,51°27′15″E,3
Marina Bay Street Circuit *,Street circuit,Anti-clockwise,Marina Bay,Singapore,4.940 km (3.070 mi),19,Singapore Grand Prix,"2008–2019, 2022–2024",1°17′29.51″N,103°51′49.86″E,15
Miami International Autodrome *,Street circuit,Anti-clockwise,Miami Gardens,United States,5.412 km (3.363 mi),18,Miami Grand Prix,2022–2025,25°57′29″N,80°14′20″W,4
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),18,Spanish Grand Prix,"1969, 1971, 1973, 1975",41°21′59″N,2°09′06″E,4
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),10,Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",44°03′00″N,78°40′40″W,8
Nivelles-Baulers,Race circuit,Clockwise,Nivelles,Belgium,3.724 km (2.314 mi),7,Belgian Grand Prix,"1972, 1974",50°37′16″N,4°19′37″E,2
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",50°20′08″N,6°56′51″E,41
Pescara Circuit,Road circuit,Clockwise,Pescara,Italy,25.800 km (16.031 mi),24*,Pescara Grand Prix,1957,42°28′30″N,14°9′3″E,1
Phoenix Street Circuit,Street circuit,Anti-clockwise,Phoenix,United States,3.720 km (2.312 mi),12,United States Grand Prix,1989–1991,33°26′52.5″N,112°4′28.5″W,3
Prince George Circuit,Race circuit,Clockwise,East London,South Africa,3.920 km (2.436 mi),8,South African Grand Prix,"1962–1963, 1965",33°02′55″S,27°52′25″E,3
