Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),12,40.6172,-3.5856,9,1981,1981,False,21180
Dallas Fair Park,Street circuit,Anti-clockwise,Dallas,United States,3.901 km (2.424 mi),14,32.7819,-96.7656,1,1984,1984,False,81658
Detroit Street Circuit,Street circuit,Anti-clockwise,Detroit,United States,4.023 km (2.500 mi),20,42.3298,-83.0401,7,1982,1988,False,40692
Donington Park,Race circuit,Clockwise,Castle Donington,United Kingdom,4.020 km (2.498 mi),11,52.8297,-1.3794,1,1993,1993,False,98316
Fuji Speedway,Race circuit,Clockwise,Oyama,Japan,4.563 km (2.835 mi),16,35.3717,138.9267,4,1976,1977,False,28084
Fuji Speedway,Race circuit,Clockwise,Oyama,Japan,4.563 km (2.835 mi),16,35.3717,138.9267,4,2007,2008,False,28084
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,1970,1970,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,1977,1984,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,1986,2006,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2008,2008,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2010,2010,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2012,2012,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2014,2014,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2016,2016,False,10012
Hockenheimring,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),16,49.3278,8.5658,37,2018,2019,False,10012
Hungaroring,Race circuit,Clockwise,Mogyoród,Hungary,4.381 km (2.722 mi),14,47.5822,19.2511,39,1986,2025,True,59141
Indianapolis Motor Speedway,Race circuit,Clockwise,Speedway,United States,4.192 km (2.605 mi),13,39.7983,-86.2328,19,1950,1960,False,90940
Indianapolis Motor Speedway,Race circuit,Clockwise,Speedway,United States,4.192 km (2.605 mi),13,39.7983,-86.2328,19,2000,2007,False,90940
Intercity Istanbul Park,Race circuit,Anti-clockwise,Istanbul,Turkey,5.338 km (3.317 mi),14,40.9517,29.405,9,2005,2011,False,59748
Intercity Istanbul Park,Race circuit,Anti-clockwise,Istanbul,Turkey,5.338 km (3.317 mi),14,40.9517,29.405,9,2020,2021,False,59748
Jeddah Corniche Circuit,Street circuit,Anti-clockwise,Jeddah,Saudi Arabia,6.174 km (3.836 mi),27,21.6319,39.1044,5,2021,2025,True,58816
Korea International Circuit,Race circuit,Anti-clockwise,Yeongam,South Korea,5.615 km (3.489 mi),18,34.7333,126.4167,4,2010,2013,False,95361
Kyalami Grand Prix Circuit,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km (2.648 mi),13,-25.9981,28.0689,20,1967,1980,False,36587
Kyalami Grand Prix Circuit,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km (2.648 mi),13,-25.9981,28.0689,20,1982,1985,False,36587
Kyalami Grand Prix Circuit,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km (2.648 mi),13,-25.9981,28.0689,20,1992,1993,False,36587
Las Vegas Strip Circuit,Street circuit,Anti-clockwise,Paradise,United States,6.201 km (3.853 mi),17,36.11,-115.1622,2,2023,2025,True,77635
Long Beach Street Circuit,Street circuit,Clockwise,Long Beach,United States,3.275 km (2.035 mi),18,33.7664,-118.1928,8,1976,1983,False,38629
Lusail International Circuit,Race circuit,Clockwise,Lusail,Qatar,5.419 km (3.367 mi),16,25.49,51.4542,3,2021,2021,False,22293
Lusail International Circuit,Race circuit,Clockwise,Lusail,Qatar,5.419 km (3.367 mi),16,25.49,51.4542,3,2023,2025,True,22293
Marina Bay Street Circuit,Street circuit,Anti-clockwise,Marina Bay,Singapore,4.940 km (3.070 mi),19,1.2915,103.8638,15,2008,2019,False,89821
Marina Bay Street Circuit,Street circuit,Anti-clockwise,Marina Bay,Singapore,4.940 km (3.070 mi),19,1.2915,103.8638,15,2022,2025,True,89821
Miami International Autodrome,Street circuit,Anti-clockwise,Miami Gardens,United States,5.412 km (3.363 mi),18,25.9581,-80.2389,4,2022,2025,True,78952
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),18,41.3664,2.1517,4,1969,1969,False,98607
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),18,41.3664,2.1517,4,1971,1971,False,98607
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),18,41.3664,2.1517,4,1973,1973,False,98607
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),18,41.3664,2.1517,4,1975,1975,False,98607
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),10,44.05,-78.6778,8,1967,1967,False,72226
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),10,44.05,-78.6778,8,1969,1969,False,72226
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),10,44.05,-78.6778,8,1971,1974,False,72226
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),10,44.05,-78.6778,8,1976,1977,False,72226
Nivelles-Baulers,Race circuit,Clockwise,Nivelles,Belgium,3.724 km (2.314 mi),7,50.6211,4.3269,2,1972,1972,False,90900
Nivelles-Baulers,Race circuit,Clockwise,Nivelles,Belgium,3.724 km (2.314 mi),7,50.6211,4.3269,2,1974,1974,False,90900
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1951,1954,False,69792
